"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C26_M3","CAPC1608X95N","4101mil","279mil","4101mil","279mil","4128.559mil","279mil","T","180.00","2.2uF"
"C26_M2","CAPC1608X95N","2859mil","244mil","2859mil","244mil","2859mil","271.559mil","T","270.00","2.2uF"
"C26_M1","CAPC1608X95N","1564mil","247mil","1564mil","247mil","1564mil","219.441mil","T","90.00","2.2uF"
"C26_M0","CAPC1608X95N","196mil","299mil","196mil","299mil","196mil","271.441mil","T","90.00","2.2uF"
"R12","RESC1005X40AN","4068.78mil","344.331mil","4068.78mil","344.331mil","4088.465mil","344.331mil","T","180.00","4.7K"
"R8","RESC1005X40AN","454mil","173mil","454mil","173mil","434.315mil","173mil","T","360.00","15R"
"R19","RESC1005X40AN","606mil","173mil","606mil","173mil","586.315mil","173mil","T","360.00","15R"
"R21","RESC1005X40AN","813mil","173mil","813mil","173mil","793.315mil","173mil","T","360.00","15R"
"R24","RESC1005X40AN","1072.362mil","173.15mil","1072.362mil","173.15mil","1092.047mil","173.15mil","B","180.00","15R"
"R25","RESC1005X40AN","1041mil","173mil","1041mil","173mil","1021.315mil","173mil","T","360.00","15R"
"R80","RP0402X4","3968.504mil","699.039mil","3968.504mil","699.039mil","3938.976mil","679.354mil","T","90.00","4K7"
"R79","RP0402X4","2677.165mil","699.055mil","2677.165mil","699.055mil","2706.693mil","718.74mil","T","270.00","4K7"
"R78","RP0402X4","4074.803mil","699.055mil","4074.803mil","699.055mil","4045.276mil","679.37mil","T","90.00","4K7"
"R77","RP0402X4","3740.157mil","699.039mil","3740.157mil","699.039mil","3769.685mil","718.724mil","T","270.00","4K7"
"R76","RESC1005X40AN","4747mil","173mil","4747mil","173mil","4727.315mil","173mil","T","360.00","15R"
"R72","RESC1005X40AN","4396mil","173mil","4396mil","173mil","4376.315mil","173mil","T","360.00","15R"
"R70","RESC1005X40AN","4238mil","173mil","4238mil","173mil","4257.685mil","173mil","T","180.00","15R"
"R68","RESC1005X40AN","4153mil","173mil","4153mil","173mil","4172.685mil","173mil","T","180.00","15R"
"R66","RESC1005X40AN","4001mil","173mil","4001mil","173mil","4020.685mil","173mil","T","180.00","15R"
"R64","RESC1005X40AN","3785mil","193mil","3785mil","193mil","3785mil","173.315mil","T","90.00","15R"
"R63","RESC1005X40AN","3747mil","195mil","3747mil","195mil","3747mil","214.685mil","B","270.00","15R"
"R62","RESC1005X40AN","3747mil","193mil","3747mil","193mil","3747mil","173.315mil","T","90.00","15R"
"R61","RESC1005X40AN","3708mil","195mil","3708mil","195mil","3708mil","214.685mil","B","270.00","15R"
"R60","RESC1005X40AN","3676mil","193mil","3676mil","193mil","3676mil","173.315mil","T","90.00","15R"
"R58","RESC1005X40AN","3568mil","173mil","3568mil","173mil","3548.315mil","173mil","T","360.00","15R"
"R57","RESC1005X40AN","3513mil","195mil","3513mil","195mil","3513mil","214.685mil","B","270.00","15R"
"R56","RESC1005X40AN","3490mil","173mil","3490mil","173mil","3509.685mil","173mil","T","180.00","15R"
"R55","RESC1005X40AN","3472mil","195mil","3472mil","195mil","3472mil","214.685mil","B","270.00","15R"
"R54","RESC1005X40AN","1268mil","195mil","1268mil","195mil","1268mil","214.685mil","B","270.00","15R"
"R53","RESC1005X40AN","1229mil","195mil","1229mil","195mil","1229mil","214.685mil","B","270.00","15R"
"R52","RESC1005X40AN","1147mil","193mil","1147mil","193mil","1147mil","173.315mil","T","90.00","15R"
"R51","RESC1005X40AN","1503mil","193mil","1503mil","193mil","1503mil","173.315mil","T","90.00","15R"
"R49","RESC1005X40AN","1278mil","193mil","1278mil","193mil","1278mil","173.315mil","T","90.00","15R"
"R48","RESC1005X40AN","1236mil","193mil","1236mil","193mil","1236mil","173.315mil","T","90.00","15R"
"R46","RESC1005X40AN","4548mil","173mil","4548mil","173mil","4528.315mil","173mil","T","360.00","15R"
"R45","RESC1005X40AN","5046mil","193mil","5046mil","193mil","5046mil","212.685mil","T","270.00","0R"
"C4_M3","CAPC1608X95N","4943mil","303mil","4943mil","303mil","4943mil","275.441mil","T","90.00","2.2uF"
"C4_M2","CAPC1608X95N","3652mil","354mil","3652mil","354mil","3652mil","326.441mil","T","90.00","2.2uF"
"C4_M1","CAPC1608X95N","2351.394mil","332.166mil","2351.394mil","332.166mil","2351.394mil","304.606mil","T","90.00","2.2uF"
"C4_M0","CAPC1608X95N","1044mil","353.134mil","1044mil","353.134mil","1044mil","325.575mil","T","90.00","2.2uF"
"C3_M3","CAPC1005X60N","4709.858mil","397.638mil","4709.858mil","397.638mil","4690.173mil","397.638mil","B","360.00","0.1uF"
"C3_M2","CAPC1005X60N","3409.646mil","397.638mil","3409.646mil","397.638mil","3389.961mil","397.638mil","B","360.00","0.1uF"
"C3_M1","CAPC1005X60N","2111.433mil","397.638mil","2111.433mil","397.638mil","2091.748mil","397.638mil","B","360.00","0.1uF"
"C3_M0","CAPC1005X60N","817mil","398.055mil","817mil","398.055mil","797.315mil","398.055mil","B","360.00","0.1uF"
"C2_M3","CAPC1005X60N","4394.898mil","555.118mil","4394.898mil","555.118mil","4414.583mil","555.118mil","B","180.00","0.1uF"
"C2_M2","CAPC1005X60N","3094.685mil","555.118mil","3094.685mil","555.118mil","3114.37mil","555.118mil","B","180.00","0.1uF"
"C2_M1","CAPC1005X60N","1791.772mil","555.118mil","1791.772mil","555.118mil","1811.457mil","555.118mil","B","180.00","0.1uF"
"C2_M0","CAPC1005X60N","493.504mil","555.118mil","493.504mil","555.118mil","513.189mil","555.118mil","B","180.00","0.1uF"
"U2","SPD_CLP","2595mil","472mil","2595mil","472mil","2561.535mil","416.882mil","T","90.00","1.7V-3.3V"
"R43","RP0402X4","1326.772mil","699.039mil","1326.772mil","699.039mil","1297.244mil","679.354mil","T","90.00","4K7"
"R42","RP0402X4","1211.842mil","699.37mil","1211.842mil","699.37mil","1241.37mil","719.055mil","T","270.00","4K7"
"R41","RESC1005X40AN","2529.173mil","588.622mil","2529.173mil","588.622mil","2509.488mil","588.622mil","T","360.00","15R"
"R39","RP0402X4","1427.362mil","699.055mil","1427.362mil","699.055mil","1397.835mil","679.37mil","T","90.00","4K7"
"R38","RP0402X4","2447.835mil","699.039mil","2447.835mil","699.039mil","2418.307mil","679.354mil","T","90.00","4K7"
"R37","RP0402X4","5059.055mil","699.039mil","5059.055mil","699.039mil","5029.528mil","679.354mil","T","90.00","4K7"
"R36","RP0402X4","186.732mil","699.528mil","186.732mil","699.528mil","216.26mil","719.213mil","T","270.00","4K7"
"R35","RP0402X4","1119.094mil","699.519mil","1119.094mil","699.519mil","1148.622mil","719.203mil","T","270.00","4K7"
"R33","RP0402X4","2775.591mil","699.039mil","2775.591mil","699.039mil","2805.118mil","718.724mil","T","270.00","4K7"
"R32","RESC1005X40AN","1988.984mil","707.835mil","1988.984mil","707.835mil","1988.984mil","727.52mil","B","270.00","2.2K"
"R31","RESC1005X40AN","4634.409mil","707.835mil","4634.409mil","707.835mil","4634.409mil","727.52mil","B","270.00","2.2K"
"R30","RESC1005X40AN","4547.984mil","707.835mil","4547.984mil","707.835mil","4547.984mil","727.52mil","B","270.00","2.2K"
"R29","RESC1005X40AN","1949.984mil","707.835mil","1949.984mil","707.835mil","1949.984mil","727.52mil","B","270.00","2.2K"
"R28","RESC1005X40AN","2035.984mil","707.835mil","2035.984mil","707.835mil","2035.984mil","727.52mil","B","270.00","2.2K"
"R26","RESC1005X40AN","689mil","707.819mil","689mil","707.819mil","689mil","727.504mil","B","270.00","2.2K"
"R16","RESC1005X40AN","3248mil","707.835mil","3248mil","707.835mil","3248mil","727.52mil","B","270.00","2.2K"
"R15","RESC1005X40AN","3334.213mil","707.835mil","3334.213mil","707.835mil","3334.213mil","727.52mil","B","270.00","2.2K"
"R11","RESC1005X40AN","650mil","707.819mil","650mil","707.819mil","650mil","727.504mil","B","270.00","2.2K"
"R3","RESC1005X40AN","738.11mil","707.795mil","738.11mil","707.795mil","738.11mil","727.48mil","B","270.00","2.2K"
"C1","CAPC1005X60N","2526mil","513mil","2526mil","513mil","2526mil","532.685mil","T","270.00","0.1uF"
"C5_M0","CAPC1005X60N","576mil","633.858mil","576mil","633.858mil","576mil","614.173mil","B","90.00","0.1uF"
"C5_M1","CAPC1005X60N","1875.213mil","633.858mil","1875.213mil","633.858mil","1875.213mil","614.173mil","B","90.00","0.1uF"
"C5_M2","CAPC1005X60N","3173.425mil","633.858mil","3173.425mil","633.858mil","3173.425mil","614.173mil","B","90.00","0.1uF"
"C5_M3","CAPC1005X60N","4473.638mil","633.858mil","4473.638mil","633.858mil","4473.638mil","614.173mil","B","90.00","0.1uF"
"C6_M0","CAPC1005X60N","733.481mil","633.858mil","733.48mil","633.858mil","733.481mil","614.173mil","B","90.00","0.1uF"
"C6_M1","CAPC1005X60N","2032.693mil","633.858mil","2032.693mil","633.858mil","2032.693mil","614.173mil","B","90.00","0.1uF"
"C6_M2","CAPC1005X60N","3333mil","634.063mil","3333mil","634.063mil","3333mil","614.378mil","B","90.00","0.1uF"
"C6_M3","CAPC1005X60N","4631.118mil","633.858mil","4631.118mil","633.858mil","4631.118mil","614.173mil","B","90.00","0.1uF"
"C7_M0","CAPC1005X60N","457.89mil","673.228mil","457.89mil","673.229mil","438.205mil","673.228mil","B","360.00","0.1uF"
"C7_M1","CAPC1005X60N","1757.102mil","673.228mil","1757.102mil","673.229mil","1737.417mil","673.228mil","B","360.00","0.1uF"
"C7_M2","CAPC1005X60N","3055.315mil","673.228mil","3055.315mil","673.229mil","3035.63mil","673.228mil","B","360.00","0.1uF"
"C7_M3","CAPC1005X60N","4355.528mil","673.228mil","4355.528mil","673.229mil","4335.842mil","673.228mil","B","360.00","0.1uF"
"C8_M0","CAPC1005X60N","851.591mil","673.229mil","851.591mil","673.229mil","871.276mil","673.229mil","B","180.00","0.1uF"
"C8_M1","CAPC1005X60N","2150.803mil","673.229mil","2150.803mil","673.229mil","2170.488mil","673.229mil","B","180.00","0.1uF"
"C8_M2","CAPC1005X60N","3449.016mil","673.229mil","3449.016mil","673.229mil","3468.701mil","673.229mil","B","180.00","0.1uF"
"C8_M3","CAPC1005X60N","4749.228mil","673.229mil","4749.229mil","673.229mil","4768.913mil","673.229mil","B","180.00","0.1uF"
"C9_M0","CAPC1005X60N","851.591mil","279.528mil","851.591mil","279.527mil","871.276mil","279.528mil","B","180.00","0.1uF"
"C9_M1","CAPC1005X60N","2150.803mil","279.528mil","2150.803mil","279.527mil","2170.488mil","279.528mil","B","180.00","0.1uF"
"C9_M2","CAPC1005X60N","3449.016mil","279.528mil","3449.016mil","279.527mil","3468.701mil","279.528mil","B","180.00","0.1uF"
"C9_M3","CAPC1005X60N","4749.228mil","279.528mil","4749.229mil","279.527mil","4768.913mil","279.528mil","B","180.00","0.1uF"
"C10_M0","CAPC1005X60N","457.89mil","279.527mil","457.89mil","279.527mil","438.205mil","279.527mil","B","360.00","0.1uF"
"C10_M1","CAPC1005X60N","1757.102mil","279.527mil","1757.102mil","279.527mil","1737.417mil","279.527mil","B","360.00","0.1uF"
"C10_M2","CAPC1005X60N","3055.315mil","279.527mil","3055.315mil","279.527mil","3035.63mil","279.527mil","B","360.00","0.1uF"
"C10_M3","CAPC1005X60N","4355.528mil","279.527mil","4355.528mil","279.527mil","4335.842mil","279.527mil","B","360.00","0.1uF"
"C11_M0","CAPC1005X60N","573mil","319.055mil","573mil","319.055mil","573mil","338.74mil","B","270.00","0.1uF"
"C11_M1","CAPC1005X60N","1872mil","319.378mil","1872mil","319.378mil","1872mil","339.063mil","B","270.00","0.1uF"
"C11_M2","CAPC1005X60N","3171mil","319.378mil","3171mil","319.378mil","3171mil","339.063mil","B","270.00","0.1uF"
"C11_M3","CAPC1005X60N","4471mil","319.378mil","4471mil","319.378mil","4471mil","339.063mil","B","270.00","0.1uF"
"C12_M0","CAPC1005X60N","733.48mil","318.897mil","733.48mil","318.898mil","733.48mil","338.583mil","B","270.00","0.1uF"
"C12_M1","CAPC1005X60N","2032.693mil","318.897mil","2032.693mil","318.898mil","2032.693mil","338.583mil","B","270.00","0.1uF"
"C12_M2","CAPC1005X60N","3330.905mil","318.897mil","3330.906mil","318.898mil","3330.905mil","338.583mil","B","270.00","0.1uF"
"C12_M3","CAPC1005X60N","4631.118mil","318.897mil","4631.118mil","318.898mil","4631.118mil","338.583mil","B","270.00","0.1uF"
"C13_M0","CAPC1005X60N","851.6mil","430.378mil","851.6mil","430.378mil","871.285mil","430.378mil","B","180.00","0.1uF"
"C13_M1","CAPC1005X60N","2150.812mil","430.378mil","2150.813mil","430.378mil","2170.498mil","430.378mil","B","180.00","0.1uF"
"C13_M2","CAPC1005X60N","3449.025mil","430.378mil","3449.025mil","430.378mil","3468.71mil","430.378mil","B","180.00","0.1uF"
"C13_M3","CAPC1005X60N","4749.238mil","430.378mil","4749.238mil","430.378mil","4768.923mil","430.378mil","B","180.00","0.1uF"
"C14_M0","CAPC1005X60N","457.9mil","522.078mil","457.9mil","522.078mil","438.215mil","522.078mil","B","360.00","0.1uF"
"C14_M1","CAPC1005X60N","1757.113mil","522.078mil","1757.113mil","522.078mil","1737.428mil","522.078mil","B","360.00","0.1uF"
"C14_M2","CAPC1005X60N","3055.325mil","522.078mil","3055.325mil","522.078mil","3035.64mil","522.078mil","B","360.00","0.1uF"
"C14_M3","CAPC1005X60N","4355.538mil","522.078mil","4355.538mil","522.078mil","4335.853mil","522.078mil","B","360.00","0.1uF"
"C15_M0","CAPC1005X60N","636mil","614mil","636mil","614mil","636mil","594.315mil","B","90.00","0.1uF"
"C15_M1","CAPC1005X60N","1944.567mil","614.055mil","1944.567mil","614.055mil","1944.567mil","594.37mil","B","90.00","0.1uF"
"C15_M2","CAPC1005X60N","3233mil","614.378mil","3233mil","614.378mil","3233mil","594.693mil","B","90.00","0.1uF"
"C15_M3","CAPC1005X60N","4532.913mil","613.858mil","4532.913mil","613.858mil","4532.913mil","594.173mil","B","90.00","0.1uF"
"C16_M0","CAPC1005X60N","654.74mil","318.897mil","654.74mil","318.898mil","654.74mil","338.583mil","B","270.00","0.1uF"
"C16_M1","CAPC1005X60N","1953.953mil","318.897mil","1953.953mil","318.898mil","1953.953mil","338.583mil","B","270.00","0.1uF"
"C16_M2","CAPC1005X60N","3250mil","319mil","3250mil","319mil","3250mil","338.685mil","B","270.00","0.1uF"
"C16_M3","CAPC1005X60N","4552.378mil","318.897mil","4552.378mil","318.898mil","4552.378mil","338.583mil","B","270.00","0.1uF"
"C18_M0","CAPC1608X95N","367mil","673.228mil","367mil","673.228mil","394.559mil","673.228mil","B","180.00","2.2uF"
"C18_M1","CAPC1608X95N","1661mil","673mil","1661mil","673mil","1688.559mil","673mil","B","180.00","2.2uF"
"C18_M2","CAPC1608X95N","2965mil","687mil","2965mil","687mil","2992.559mil","687mil","B","180.00","2.2uF"
"C18_M3","CAPC1608X95N","4259mil","673.229mil","4259mil","673.229mil","4286.559mil","673.229mil","B","180.00","2.2uF"
"C19_M0","CAPC1608X95N","946.244mil","674mil","946.244mil","674mil","918.685mil","674mil","B","360.00","2.2uF"
"C19_M1","CAPC1608X95N","2248mil","674mil","2248mil","674mil","2220.441mil","674mil","B","360.00","2.2uF"
"C19_M2","CAPC1608X95N","3545mil","673mil","3545mil","673mil","3517.441mil","673mil","B","360.00","2.2uF"
"C19_M3","CAPC1608X95N","4847.283mil","673mil","4847.283mil","673mil","4819.724mil","673mil","B","360.00","2.2uF"
"C20_M0","CAPC1608X95N","366mil","280mil","366mil","280mil","393.559mil","280mil","B","180.00","2.2uF"
"C20_M1","CAPC1608X95N","1757mil","236mil","1757mil","236mil","1729.441mil","236mil","B","360.00","2.2uF"
"C20_M2","CAPC1608X95N","3055.835mil","237.376mil","3055.835mil","237.376mil","3028.276mil","237.376mil","B","360.00","2.2uF"
"C20_M3","CAPC1608X95N","4341mil","238mil","4341mil","238mil","4313.441mil","238mil","B","360.00","2.2uF"
"C21_M0","CAPC1608X95N","402mil","445mil","402mil","445mil","402mil","472.559mil","B","270.00","2.2uF"
"C21_M1","CAPC1608X95N","1666mil","522mil","1666mil","522mil","1693.559mil","522mil","B","180.00","2.2uF"
"C21_M2","CAPC1608X95N","2966mil","514mil","2966mil","514mil","2993.559mil","514mil","B","180.00","2.2uF"
"C21_M3","CAPC1608X95N","4248mil","517mil","4248mil","517mil","4275.559mil","517mil","B","180.00","2.2uF"
"R1","RESC1005X40AN","243mil","195mil","243mil","195mil","243mil","214.685mil","B","270.00","15R"
"R2","RESC1005X40AN","241mil","193mil","241mil","193mil","241mil","173.315mil","T","90.00","15R"
"R5","RESC1005X40AN","282mil","195mil","282mil","195mil","282mil","214.685mil","B","270.00","15R"
"R6","RESC1005X40AN","303mil","173mil","303mil","173mil","322.685mil","173mil","T","180.00","15R"
"R9","RESC1005X40AN","478.74mil","194.882mil","478.74mil","194.882mil","478.74mil","214.567mil","B","270.00","15R"
"R18","RESC1005X40AN","519.291mil","194.882mil","519.291mil","194.882mil","519.291mil","214.567mil","B","270.00","15R"
"R10","RESC1005X40AN","530mil","173mil","530mil","173mil","510.315mil","173mil","T","360.00","15R"
"R14","RESC1005X40AN","4472mil","173mil","4472mil","173mil","4491.685mil","173mil","T","180.00","15R"
"R67","RESC1005X40AN","4180mil","195mil","4180mil","195mil","4180mil","214.685mil","B","270.00","15R"
"R69","RESC1005X40AN","4220mil","195mil","4220mil","195mil","4220mil","214.685mil","B","270.00","15R"
"R22","RESC1005X40AN","994.921mil","173.11mil","994.921mil","173.11mil","1014.606mil","173.11mil","B","180.00","15R"
"R23","RESC1005X40AN","964mil","173mil","964mil","173mil","944.315mil","173mil","T","360.00","15R"
"R73","RESC1005X40AN","4413mil","195mil","4413mil","195mil","4413mil","214.685mil","B","270.00","15R"
"R74","RESC1005X40AN","4452mil","195mil","4452mil","195mil","4452mil","214.685mil","B","270.00","15R"
"U1_M0","BGA100P1800X1400X110-152N","654.74mil","476.378mil","654.74mil","476.378mil","339.779mil","240.157mil","T","90.00","TBD"
"U1_M1","BGA100P1800X1400X110-152N","1953.953mil","476.378mil","1953.953mil","476.378mil","1638.992mil","240.157mil","T","90.00","TBD"
"U1_M2","BGA100P1800X1400X110-152N","3252.165mil","476.378mil","3252.165mil","476.378mil","2937.205mil","240.157mil","T","90.00","TBD"
"U1_M3","BGA100P1800X1400X110-152N","4552.378mil","476.378mil","4552.378mil","476.378mil","4237.417mil","240.157mil","T","90.00","TBD"
"R4","RESC1005X40AN","3287mil","707.835mil","3287mil","707.835mil","3287mil","727.52mil","B","270.00","2.2K"
"R13","RESC1005X40AN","4586.984mil","707.835mil","4586.984mil","707.835mil","4586.984mil","727.52mil","B","270.00","2.2K"
"C22","CAPC2012X145N","217mil","621.457mil","217mil","621.457mil","252.433mil","621.457mil","B","180.00","10uF"
"C23","CAPC2012X145N","217mil","463.976mil","217mil","463.976mil","252.433mil","463.976mil","B","180.00","10uF"
"L1","INDC1005X60N","252.433mil","542.717mil","252.433mil","542.717mil","252.433mil","562.402mil","B","270.00","220R@100MHz"
"L2","INDC1005X60N","181.567mil","542.717mil","181.567mil","542.717mil","181.567mil","562.402mil","B","270.00","220R@100MHz"
"R85","RESC1005X40AN","2646mil","228mil","2646mil","228mil","2646mil","208.315mil","T","90.00","2.2K"
"R86","RESC1005X40AN","2564mil","308mil","2564mil","308mil","2564mil","327.685mil","T","270.00","2.2K"
"R87","RESC1005X40AN","2605mil","308mil","2605mil","308mil","2605mil","327.685mil","T","270.00","2.2K"
"C25_M0","CAPC1608X95N","1044mil","526mil","1044mil","526mil","1044mil","498.441mil","T","90.00","2.2uF"
"C25_M1","CAPC1608X95N","2231mil","463mil","2231mil","463mil","2231mil","435.441mil","B","90.00","2.2uF"
"C25_M2","CAPC1608X95N","3515mil","465mil","3515mil","465mil","3515mil","437.441mil","B","90.00","2.2uF"
"C25_M3","CAPC1608X95N","4812mil","410.291mil","4812mil","410.291mil","4812mil","437.851mil","B","270.00","2.2uF"

